n2\n1,4,5,6,7,8,9,10,11,12,13,14,15
5,,15,,,,,,,,,,
6,10,16,23,,,,,,,,,
7,10,17,24,32,,,,,,,,
8,11,17,25,34,43,,,,,,,
9,11,18,26,35,45,56,,,,,,
10,12,19,27,37,47,58,71,,,,,
11,12,20,28,38,49,61,74,87,,,,
12,13,21,30,40,51,63,76,90,106,,,
13,14,22,31,41,53,65,79,93,109,125,,
14,14,22,32,43,54,67,81,96,112,129,147,
15,15,23,33,44,56,70,84,99,115,133,151,171
16,15,24,34,46,58,72,86,102,119,137,155,
17,16,25,36,47,60,74,89,105,122,140,,
18,16,26,37,49,62,76,92,108,125,,,
19,17,27,38,50,64,78,94,111,,,,
20,18,28,39,52,66,81,97,,,,,
21,18,29,40,53,68,83,,,,,,
22,19,29,42,55,70,,,,,,,
23,19,30,43,57,,,,,,,,
24,20,31,44,,,,,,,,,
25,20,32,,,,,,,,,,
26,21,,,,,,,,,,,
27,,,,,,,,,,,,
